Title,Ingredients,Removed amounts and measurements
Loaded Cauliflower Bake,"['2 small heads cauliflower, cut into florets', '2 tbsp. butter', '3 cloves garlic, minced', '3 tbsp. all-purpose flour', '2 c. whole milk', '2 oz. cream cheese, softened', '1 1/2 c. shredded cheddar, divided', 'Kosher salt', 'Freshly ground black pepper', '6 slices bacon, cooked and crumbled', '1/4 c. sliced green onions']","['cauliflower','butter','clove','flour','milk','cream','cheddar','salt','pepper','bacon','onion']"
48 Casseroles That Are As Warm And Cozy As Your Favorite Sweater,[],['']
38 Insanely Easy Breakfast Casserole Recipes That Will Make Your Morning Infinitely Better,[],['']
17 Chicken Casseroles To Spice Up Your Weeknight Dinner,[],['']
Sweet Potato Pie,"['1 1/2 c. all-purpose flour', '1/2 c. unsalted butter, cut into 1/2"" pieces', '1 tbsp. granulated suagr', '1/4 tsp. kosher salt', '1/2 tbsp. apple cider vinegar', '4 tbsp. ice water (or more, if needed)', '1 15-oz. can sweet potato pie puree', '1 14-oz. can sweetened condensed milk', '3 large eggs, beaten', '1 tbsp. vanilla extract', '1 tsp. cinnamon', '1 tsp. ground nutmeg', '1/2 tsp. ground ginger', '1/4 tsp. fine sea salt', 'Mini marshmallows, for topping']","['flour','butter','1 tbsp. granulated suagr','salt','apple','water','potato','milk','egg','vanilla','cinnamon','nutmeg','gin','salt','marshmallow']"
Cheeseburger Casserole,"['1 tbsp. extra-virgin olive oil', '1/2 large white onion, finely diced', '2 lb. ground beef', 'Kosher salt', 'Freshly ground black pepper', '2 tbsp. tomato paste', '3 tbsp. pickle relish', '2 tbsp. Worcestershire sauce', '1 tbsp. yellow mustard', '3 c. shredded cheddar', '1 (8-oz.) can refrigerated crescent rolls', '1 large egg, beaten', '1 tbsp. sesame seeds', 'Shredded lettuce, for garnish', 'Diced tomato, for garnish', 'Pickle slices, for garnish', 'Diced white onion, for garnish', '1/3 c. mayonnaise', '2 tbsp. ketchup', '1 tbsp. yellow mustard', '2 tsp. pickle relish', '1 tsp. apple cider vinegar', '1/4 tsp. garlic powder', '1/4 tsp. onion powder', '1/4 tsp. sweet paprika']","['gin','onion','beef','salt','pepper','tomato','3 tbsp. pickle relish','worcestershire sauce','yellow mustard','cheddar','roll','egg','sesame seeds','lettuce','tomato','ice','onion','mayonnaise','ketchup','yellow mustard','2 tsp. pickle relish','apple','garlic','onion','paprika']"
Chili Cheese Dog Casserole,"['1 (8-oz.) can refrigerated crescent dough', '8 hot dogs', '1 c. shredded cheddar', '2 (15-oz.) cans chili', '2 tbsp. butter, melted', '1 tsp. finely chopped chives', '1/2 tsp. garlic powder']","['1 (8-oz.) can refrigerated crescent dough','hot dogs','cheddar','chili','butter','chives','garlic']"
Jimmy Dean’s New Casserole Bites Will Guarantee You Have A Hot Breakfast,[],['']
Baked Spaghetti,"['Cooking spray', '16 oz. spaghetti', '2 tbsp. extra-virgin olive oil', '1 medium yellow onion, finely chopped', '2 cloves garlic, minced', '1 lb. ground beef', 'kosher salt', 'Freshly ground black pepper', '1 tsp. Italian seasoning', '1 (28-oz.) can crushed tomatoes', '1/2 c. basil, chopped', '1 c. shredded mozzarella', '1/4 c. freshly grated Parmesan', 'Chopped fresh parsley, for garnish']","['cooking spray','spaghetti','gin','onion','clove','beef','salt','pepper','italian seasoning','tomato','basil','mozzarella','parmesan','parsley']"
Vegetarian Baked Ziti,"['1 lb. ziti pasta', '1 tbsp. extra-virgin olive oil', '1 medium onion, chopped', '2 cloves garlic, minced', '2 tbsp. tomato paste', '1 tsp. dried or fresh oregano', '1 (28-oz.) can crushed tomatoes', '1 1/2 c. fresh ricotta', '1 (10-oz). package frozen spinach, drained and chopped', 'Zest of 1/2 lemon', '1/2 tsp. crushed red pepper flakes', 'Kosher salt', 'Freshly ground black pepper', '2 tbsp. thinly sliced basil, plus more for garnish', '1/2 c. grated Parmesan', '2 c. shredded mozzarella']","['ziti','gin','onion','clove','tomato','oregano','tomato','ricotta','spinach','lemon','pepper','salt','pepper','basil','parmesan','mozzarella']"
French Toast Casserole,"['6 large eggs', '1 2/3 c. whole milk', '1 c. heavy cream', '3/4 c. packed brown sugar', '1 tsp. ground cinnamon', '1 tsp. pure vanilla extract', '1/2 tsp. kosher salt', '1 loaf white bread, preferably day-old', '1/2 c. sliced almonds', '1/2 c. powdered sugar, for serving', 'Fresh berries, for serving (optional)']","['egg','milk','cream','sugar','cinnamon','vanilla','salt','bread','almond','sugar','fresh berries, for serving (optional)']"
Ham & Cheese Brunch Bake,"['10 large eggs', '1 1/2 c. milk', '2 tsp. Dijon mustard', '2 tsp. fresh thyme leaves, plus more for garnish', '1 tsp. garlic powder', 'Kosher salt', 'Freshly ground black pepper', '4 c. cubed French bread or baguette', '1/2 lb. ham, chopped', '1 1/2 c. shredded white cheddar']","['egg','milk','dijon mustard','thyme','garlic','salt','pepper','baguette','ham','cheddar']"
Philly Cheesesteak Casserole,"['4 hoagie rolls, cut into 1"" cubes', '4 tbsp. melted butter', '1 tsp. garlic powder', '2 tbsp. extra-virgin olive oil, divided', '1 onion, sliced', '2 bell peppers, sliced', '2 cloves garlic, minced', '1 1/2 lb. sirloin steak, sliced into strips', 'Kosher salt', 'Freshly ground black pepper', '2 tbsp. Worcestershire sauce', '1 c. low-sodium beef broth', '12 slices provolone', 'Freshly chopped parsley, for garnish']","['roll','butter','garlic','gin','onion','pepper','clove','tea','salt','pepper','worcestershire sauce','beef','ice','parsley']"
Meatball Sub Casserole,"['1 lb. ground beef', '2 cloves garlic, minced', '1 large egg', '1/3 c. bread crumbs', '2 tbsp. freshly chopped parsley, plus more for garnish', 'Kosher salt', 'Freshly ground black pepper', '1 tbsp. vegetable oil', 'Cooking spray', '1 baguette, sliced 3/4""-thick', '4 tbsp. (1/2 stick) melted butter', '2 cloves garlic, minced', '1 tsp. Italian seasoning', 'Kosher salt', 'Freshly ground black pepper', '2 c. freshly shredded mozzarella, divided', '3 c. marinara sauce']","['beef','clove','egg','rum','parsley','salt','pepper','oil','cooking spray','baguette','butter','clove','italian seasoning','salt','pepper','mozzarella','marinara']"
Unstuffed Cabbage Casserole,"['Cooking spray', '1 large head cabbage, roughly chopped', '2 tbsp. extra-virgin olive oil', '1 large onion, chopped', '3 cloves garlic, minced', '1 lb. ground beef', '2 tbsp. tomato paste', '1 (14.5-oz.) can chopped tomatoes', '1 c. rice', '3 c. low-sodium chicken broth (or water)']","['cooking spray','cabbage','gin','onion','clove','beef','tomato','tomato','ice','chicken']"
Cheesy Ham & Potato Casserole,"['3 tbsp. butter, plus more for pan', '1 small yellow onion, finely chopped', '3 tbsp. all-purpose flour', '1 tsp. sweet paprika', '1 1/2 c. whole milk', '2 c. diced cooked ham', 'Kosher salt', 'Freshly ground black pepper', '2 1/2 lb. russet potatoes, peeled and sliced into 1/4""-thick rounds', '3 c. shredded cheddar', 'Freshly chopped chives, for serving']","['butter','onion','flour','paprika','milk','ham','salt','pepper','potato','cheddar','chives']"
French Onion Chicken Casserole,"['3/4 standard baguette, cut into 1/2″ slices', 'Extra-virgin olive oil for drizzling', '1 1/2 c. shredded Gruyère cheese', '1 1/2 c. shredded Swiss cheese', '3 Tyson® All Natural Fresh Boneless Skinless Chicken Breasts, pounded and cut into 1″ pieces', '1/2 tsp. freshly ground black pepper', '3/4 tsp. kosher salt', '2 tbsp. all-purpose flour', '1 tbsp. cornstarch', '1/2 tsp. garlic powder', '1/2 tsp. fresh thyme', '2 tbsp. extra-virgin olive oil', '1 1/2 c. onion, sliced', '3/4 c. white wine', '2 tbsp. butter', '3/4 tsp. all-purpose flour', '1 1/4 c. low-sodium beef broth', 'Freshly chopped parsley, to garnish']","['baguette','gin','cheese','cheese','chicken','pepper','salt','flour','corn','garlic','thyme','gin','onion','wine','butter','flour','beef','parsley']"
37 Amazing Breakfasts For Your Holiday Crowd,[],['']
Tater Tot Casserole,"['1 tbsp. extra-virgin olive oil', '1 c. medium yellow onion, diced', '2 cloves garlic, minced', '2 lb. ground beef', 'Kosher salt', 'Freshly ground black pepper', '1/2 tsp. cayenne', '2 tbsp. all-purpose flour', '1 c. low-sodium chicken broth', '2 c. grated cheddar, divided', '1 1/2 c. frozen peas', '1 1/2 c. frozen corn', '1 lb. frozen tater tots', '3 slices cooked bacon, cut into 1/2"" strips', 'Thinly sliced scallions, for garnish']","['gin','onion','clove','beef','salt','pepper','cayenne','flour','chicken','cheddar','peas','corn','1 lb. frozen tater tots','bacon','scallions']"
Chicken Noodle Casserole,"['1 can cream of chicken soup', '1/2 c. water or milk', '1/2 tsp. garlic powder', '1 tsp. dried thyme', '1/2 tsp. Freshly ground black pepper', '1/2 c. chopped carrots', '1/2 c. chopped celery', '1/2 c. frozen corn (optional)', '1/2 white onion, diced', '1 c. cooked, shredded chicken', '1 12-oz. package wide egg noodles, cooked and drained', 'Freshly chopped parsley, for garnish', '1/4 c. Panko breadcrumbs (optional)']","['chicken','milk','garlic','thyme','pepper','carrot','celery','corn','onion','chicken','egg','parsley','rum']"
Cheesy Hash Brown Casserole Recipe,"['6 slices bacon', '2 lb. frozen hash browns', '2 tbsp. chopped chives (plus more for serving)', '8 eggs', '1/2 c. whole milk', '1 1/2 c. shredded Cheddar', 'kosher salt', 'Freshly ground black pepper']","['bacon','hash browns','chives','egg','milk','cheddar','salt','pepper']"
Sweet Potato Bites,"['4 medium sweet potatoes, peeled and sliced into 1/4"" thick rounds', '2 tbsp. melted butter', '1 tsp. maple syrup', 'Kosher salt', '1 (10-oz.) bag marshmallows', '1/2 c. pecan halves']","['potato','butter','maple syrup','salt','marshmallow','pecan']"
Crock-Pot Sweet Potato Casserole,"['Cooking spray', '4 lb. sweet potatoes, peeled and finely diced', '4 tbsp. melted butter', '2 c. packed brown sugar', '1/4 c. water', '1 tsp. ground cinnamon', '1/2 tsp. pure vanilla extract', 'Pinch kosher salt', '1 1/2 c. mini marshmallows', '1/2 c. whole pecans']","['cooking spray','potato','butter','sugar','water','cinnamon','vanilla','salt','marshmallow','pecan']"
Cheesy Green Bean Chicken Casserole,"['3 tbsp. butter', '1/2 lb. cremini mushrooms', '1 medium yellow onion, finely chopped', '2 cloves garlic, minced', '3 tbsp. all-purpose flour', '1 1/2 c. low-sodium chicken broth', '1 1/2 c. half-and-half', '3 c. shredded Cheddar', 'Kosher salt', 'Freshly ground black pepper', '1/2 lb. cooked farfalle', '1 (10-oz.) bag frozen green beans, thawed', '2 shredded rotisserie chicken', '2 c. store-bought fried onions']","['butter','mushroom','onion','clove','flour','chicken','half-and-half','cheddar','salt','pepper','farfalle','beans','chicken','onion']"
Turkey Casserole,"['2/3 c. panko', '3/4 c. freshly grated Parmesan, divided', '6 tbsp. butter, divided, plus more for pan', 'Kosher salt', '1 small yellow onion, chopped', '1 1/4 c. sliced cremini mushrooms', '1/4 c. all-purpose flour', '4 c. low-sodium chicken stock', '2 c. shredded cheddar', '3 c. cubed cooked turkey', '8 oz. egg noodles, cooked', '1 c. frozen peas', '3 tbsp. freshly chopped parsley, plus more for garnish', '1 tbsp. lemon juice', 'Freshly ground black pepper']","['pan','parmesan','butter','salt','onion','mushroom','flour','chicken','cheddar','turkey','egg','peas','parsley','lemon','pepper']"
Tortilla Stromboli,"['2 tbsp. extra-virgin olive oil', '1/2 small onion, chopped', '1 clove garlic, minced', '1/2 tsp. oregano', '1/4 tsp. red pepper flakes', 'Kosher salt', 'Freshly ground black pepper', '1 tbsp. tomato paste', '15 oz. can whole tomatoes', '6 flour tortillas', '2 c. shredded mozzarella', '1/4 c. grated Parmesan', '1 c. pepperoni', 'Oregano, optional', '2 tbsp. extra-virgin olive oil', '1/2 c. ranch, for dipping']","['gin','onion','garlic','oregano','pepper','salt','pepper','tomato','tomato','flour','mozzarella','parmesan','pepper','oregano','gin','1/2 c. ranch, for dipping']"
"Salami, Spinach, and Provolone Stromboli","['1 lb. pizza dough', 'flour', '4 oz. thinly sliced salami', '4 c. baby spinach', '6 oz. thinly sliced provolone', '1 tbsp. olive oil', '1 tbsp. sesame seeds', 'Green salad']","['pizza dough','flour','salami','spinach','ice','oil','sesame seeds','green salad']"
Stromboli with Two Stuffings,"['2 fresh or frozen pizza doughs', '2 tbsp. extra-virgin olive oil', '1/2 c. tomato basil marinara sauce', '3 1/2 oz. pepperoni', '4 oz. shredded mozzarella', '1/2 c. tomato basil marinara sauce', '1 lb. chicken sausage', '4 oz. shredded mozzarella', '1 tbsp. fresh-grated Parmesan cheese', '1 egg']","['pizza dough','gin','marinara','pepper','mozzarella','marinara','chicken','mozzarella','parmesan','egg']"
Loaded Stromboli Is The Best Way To Upgrade Your Pizza Night,[],['']
Fully Loaded Stromboli,"['1 lb. pizza dough, at room temperature', '1/2 c. RAGÚ Old World Style Traditional Sauce', '4 slices ham', '24 slices pepperoni', '2 oz. cremini mushrooms, thinly sliced', '1/2 Green Bell Pepper, chopped', '1 c. shredded mozzarella', '1 egg, beaten', '1 tbsp. freshly grated Parmesan', '1/2 tsp. Italian seasoning']","['pizza dough','traditional sauce','ham','pepper','mushroom','pepper','mozzarella','egg','parmesan','italian seasoning']"
Muffaletta Stromboli,"['1 can refrigerated pizza crust', '4 oz. thinly sliced soppressata (Italian salami)', '1 c. shredded part-skim mozzarella cheese', '4 oz. thinly sliced Virginia ham', 'c. bottled sliced pimiento-stuffed olives']","['pizza crust','soppressata','mozzarella','gin','olives']"
Fish Taco Salad Bowl,"['8 radishes, thinly sliced', '1/2 cucumber, halved lengthwise, seeded, and cut into thin half moons', '1/2 red onion, cut into wedges, then slivered', '1/2 cup thinly sliced red or yellow pepper', '2 tablespoons fresh lime juice, divided', '4 tablespoons canola or vegetable oil, divided', '1 teaspoon ground cumin', '1 teaspoon chili powder', 'Kosher salt and freshly ground pepper to taste', '1 1/2 pounds flaky white fish fillets, such as cod, halibut, or red snapper, cut crosswise into 1-inch wide slices', '1 clove garlic, finely minced', '8 cups thinly shredded romaine hearts', '2 tablespoons cider or rice wine vinegar', 'Diced avocado', 'Fresh cilantro leaves (optional)', 'Tortilla chips']","['radishes','cucumber','onion','pepper','lime','oil','cumin','chili','salt','cod','garlic','romaine','ice','avocado','cilantro','tortilla']"
Valerie Brunmeier’s Cheesy Taco Pasta Skillet,"['1/4 cup chili powder', '2 tablespoons ground cumin', '2 teaspoons paprika', '2 teaspoons finely ground sea salt', '2 teaspoons freshly ground black pepper', '1 teaspoon granulated garlic or garlic powder', '1 teaspoon onion powder', '1 teaspoon dried oregano', '1/2 teaspoon red pepper flakes, or to taste (I used a pinch)', '1 pound lean ground beef', '1/2 cup chopped onion', '1 teaspoon minced garlic', '2 tablespoons Flavor Fiesta Taco Seasoning Mix', '2 cups low-sodium chicken broth', '1 (14.5 ounce) can diced tomatoes, undrained', '1 (8-ounce) can tomato sauce', '1 (15.5-ounce) can black beans, drained and rinsed', '1 (4-ounce) can mild diced green chiles', '8 ounces uncooked short dry pasta like fusilli, rotelli, elbows or penne', '1 cup frozen corn', '1 cup shredded Monterey Jack cheese, divided', '1 cup shredded cheddar cheeses, divided', '1/4 cup sliced black olives', '1/4 cup chopped cilantro', '3 green onions, thinly sliced', 'Sour cream']","['chili','cumin','paprika','salt','tea','garlic','onion','oregano','tea','beef','onion','garlic','taco','chicken','tomato','tomato','beans','chile','pasta','corn','monterey jack','cheddar','olives','cilantro','onion','cream']"
Pressure Cooker Taco Soup,"['1 tablespoon olive oil', '1 pound lean (93 percent or higher) ground beef', '1 medium red or yellow onion, diced', '1/2 teaspoon kosher salt', '3 cups low sodium chicken broth', '1 (15-ounce) can diced tomatoes', '1 (15-ounce) can black beans, rinsed and drained', '1 (15-ounce) can kidney beans, rinsed and drained', '1 (4-ounce) can diced green chiles', '1 1/4 cups (6 ounces) corn kernels, fresh or frozen', '2 1/2 teaspoons chili powder', '1 teaspoon ground cumin', '1 teaspoon paprika', '1 teaspoon kosher salt', '1 1/2 cups tortilla chips, lightly crushed', '3/4 cup sour cream', '1/2 cup chopped cilantro', '1/2 cup diced onion (red or white)', '6 lime wedges', '6-quart pressure cooker']","['oil','beef','onion','salt','chicken','tomato','beans','beans','chile','corn','chili','cumin','paprika','salt','tortilla','cream','cilantro','onion','lime','pressure cooker']"
Slow Cooker Taco Soup,"['1 tablespoon olive oil', '1 pound (450g) lean ground beef', '1 1/2 cups (180g) diced yellow or red onions', '2 to 3 cups (475ml to 710ml) chicken or beef broth (use more if you want a thinner soup)', '1 15-oz. (425g) can diced tomatoes', '1 15-oz. (425g) can black beans, drained and rinsed', '1 15-oz. (425g) can kidney beans, drained and rinsed', '1 4-oz. (115g) can chopped green chiles', '1 1/4 cups (135g) corn kernels, fresh or frozen', '2 1/2 teaspoons chili powder', '1 teaspoon ground cumin', '1 teaspoon paprika', '1 teaspoon salt', 'Tortilla chips, lightly crushed', 'Sour cream', 'Chopped cilantro', 'Finely diced red onion', 'Lime juice', 'Chopped red onions', '4-quart or larger slow cooker']","['oil','beef','onion','beef','tomato','beans','beans','chile','corn','chili','cumin','paprika','tea','tortilla','cream','cilantro','onion','lime','onion','slow cooker']"
Grilled Shrimp Taco Bowl,"['1 tablespoon smoked paprika (sweet or hot)', '1 tablespoon sweet paprika', '1 tablespoon ground cumin', '1 teaspoon garlic powder', '1/2 teaspoon salt', '1/2 teaspoon chipotle powder (optional)', '1 pound shell-on shrimp (21-25 count), thawed if frozen, peeled and deveined', '1/4 cup neutral oil (I used avocado oil)', 'High heat oil such as canola or grapeseed for brushing grill grates', '2 tablespoons fresh lime juice', '2 tablespoons apple cider vinegar', '3/4 cup neutral flavored oil (I used avocado oil)', '1 clove garlic, peeled', '1 cup cilantro leaves and stems, packed', '1 jalapeño, stem removed', 'Salt to taste', '1 (15-ounce) can black beans, drained and rinsed', '1 (15-ounce) can corn, drained and rinsed', '1 pint cherry or grape tomatoes, halved', '2 cups cooked rice', '2 cups shredded romaine', '1 medium ripe avocado, thinly sliced or cut into chunks', '4 radishes, thinly sliced', '2 teaspoons neutral oil, such as canola or avocado', '2 tablespoons finely chopped jalapeño, to serve', '1/4 cup tablespoon finely chopped cilantro, to serve', 'Lime wedges, to serve', 'Salt and pepper to taste']","['paprika','paprika','cumin','garlic','tea','tea','shrimp','avocado','grapes','lime','apple','avocado','garlic','cilantro','1 jalapeño, stem removed','salt','beans','corn','tomato','ice','romaine','avocado','radishes','avocado','2 tablespoons finely chopped jalapeño, to serve','cilantro','lime','salt']"
Turkey Taco Salad,"['2 tablespoons olive oil', '1 medium onion, finely chopped', '1 clove garlic, finely chopped', '2 1/2 teaspoons ancho chili powder (or substitute regular chili powder)', '2 teaspoons ground cumin', '1 teaspoon oregano', '1/4 teaspoon salt', 'Fresh ground black pepper', '1/2 pound ground turkey', '1 can (15 ounces) diced fire-roasted tomatoes', '1 can (15 ounces) black beans, rinsed and drained', '1 cup fresh or frozen corn kernels', '2 tablespoons sherry vinegar', '1/4 teaspoon salt', 'Fresh ground black pepper', '5 tablespoons olive oil', '2 hearts of romaine, chopped or sliced', '1/2 pint cherry tomatoes, halved', '1/2 red onion, sliced', '6 radishes, thinly sliced', '2 ripe avocados, sliced', '1 cup (4 ounces) shredded Monterey jack cheese, or more, to taste', 'Handful of cilantro leaves, stems removed', '1/2 cup sour cream', '1 lime, cut into wedges']","['oil','onion','garlic','chili','cumin','oregano','tea','pepper','turkey','tomato','beans','corn','sherry','tea','pepper','oil','ice','tomato','onion','radishes','avocado','monterey jack','cilantro','cream','lime']"
Pressure Cooker Shredded Chicken Taco Meat,"['2 tablespoons chili powder', '2 teaspoons ground cumin', '1 teaspoon kosher salt', '1 1/2 teaspoons dried oregano', '1 teaspoon onion powder', '1 teaspoon garlic powder', '1/4 teaspoon ground cinnamon', '1/4 teaspoon allspice', '1/4 teaspoon cayenne', '2 1/2 pounds (about 8 medium) boneless skinless chicken thighs', '3/4 cup (6 ounces) pineapple juice', '2 tablespoons ketchup', '1 dozen corn tortillas', '1 to 2 cups shredded red cabbage', '1/2 cup sliced radishes', '2 large avocados, cut into chunks', '1/4 cup chopped cilantro', '2 limes, cut into wedges', '6-quart Instant Pot or other electric pressure cooker']","['chili','cumin','salt','oregano','onion','garlic','cinnamon','ice','cayenne','chicken','apple','ketchup','corn','cabbage','radishes','avocado','cilantro','lime','pressure cooker']"
Beef Tacos de Lengua (Beef Tongue Tacos),"['1 3-4 lb beef tongue', '2 large onions, peeled', 'The cloves from 1 head (yes an entire head) of garlic, peeled and crushed', '6-7 bay leaves', '1 Tbsp of peppercorns', '2 Tbsp salt', 'Vegetable oil', 'Corn tortillas (2 to 3 per person)', 'Salsa verde*', 'Avocados', 'Cilantro', 'Chopped red onion', 'Thinly sliced radishes for garnish']","['beef','onion','clove','bay leaves','corn','salt','oil','corn','salsa','avocado','cilantro','onion','radishes']"
Easy Fish Tacos,"['1 pound cod, tilapia, halibut, or other white fish filets', '2-3 teaspoons chili powder, enough to coat the fish', '1 teaspoon salt', '1/2 cup sour cream', '1/4 cup mayonnaise', '3-4 tablespoons lime juice (from 2 limes)', '1 teaspoon hot sauce, optional', '1/2 small head red cabbage, shredded (about 4 cups)', '12 taco-sized corn or flour tortillas', '1 avocado, sliced', '4 radishes, thinly sliced', '4 spring onions, thinly sliced', '1/3 cup roughly chopped cilantro']","['cod','chili','tea','cream','mayonnaise','lime','hot sauce','cabbage','flour','avocado','radishes','onion','cilantro']"
Hawaiian SPAM Tacos with Pineapple,"['1 habañero pepper, seeded and minced', '1/4 cup minced red onion', '2 tablespoons minced cilantro', '1 lime, juice only', '1/2 teaspoon salt', '2 large ripe avocados', '1/2 tablespoon olive oil', '1 (12-ounce) container SPAM, sliced into matchsticks', '2 cups fresh pineapple, chopped', '1 red pepper, sliced into matchsticks', '1/2 head of green cabbage, shredded (about 2 cups)', '4 ounces queso fresco, crumbled', '1 cup sour cream', 'Fresh cilantro, garnish', '12 small flour tortillas']","['pepper','onion','cilantro','lime','tea','avocado','oil','spam','apple','pepper','cabbage','queso fresco','cream','cilantro','flour']"
Crispy Fish Tacos with Red Cabbage Slaw,"['1 1/2 limes, zested and juiced', '2 tablespoons honey', '2 tablespoons avocado or canola oil', '1 teaspoon kosher salt', '1/4 teaspoon black pepper', '1 1/2 cups thinly sliced red cabbage (about a 1/2 small head of cabbage)', '5 radishes, cut into matchsticks (3/4 cup of matchsticks)', '1/4 cup minced red onion', '1/2 cup fresh cilantro', '1 jalapeño pepper, seeded and minced', '1/2 cup sour cream', 'Juice from 1/2 lime', '1/2 teaspoon chili powder', '1/2 teaspoon garlic powder', '1/4 teaspoon ground cumin', '1/4 teaspoon kosher salt', '1 1/2 pounds skinless cod fillets', '1 lime', '1/2 cup all-purpose flour', '1/4 cup cornmeal', '2 teaspoons smoked paprika', '1 1/2 teaspoons kosher salt', '1 teaspoon garlic powder', '3/4 teaspoon ground cayenne pepper', '1/2 cup whole milk, heavy cream, or buttermilk', '4 cups high heat oil, such as canola oil', '10 small (5-inch) flour tortillas, street taco style']","['lime','honey','avocado','salt','tea','cabbage','radishes','onion','cilantro','pepper','cream','lime','chili','garlic','cumin','salt','cod','lime','flour','corn','paprika','salt','garlic','cayenne','butter','oil','flour']"
Cheese Tacos,"['Corn tortillas (as many as tacos you want to make, packaged or homemade)', 'Butter', 'Cheddar or jack cheese', 'Salsa (homemade or prepared)', 'Avocado', 'Apple', 'Lettuce', 'Strips of cooked chicken, beef, or pork (a great use of leftovers)', 'A large cast iron frying pan', 'A metal spatula']","['corn','butter','cheddar','salsa','avocado','apple','lettuce','beef','pan','a metal spatula']"
Slow Cooker Chicken Tacos,"['2 tablespoons chili powder', '2 teaspoons ground cumin', '1 teaspoon kosher salt', '1 1/2 teaspoons dried oregano, crumbled fine between your hands', '1 teaspoon onion powder', '1 teaspoon garlic powder', '1/4 teaspoon ground cinnamon', '1/4 teaspoon allspice (can sub a scant pinch of ground cloves)', '1/4 teaspoon cayenne (optional, add more or less depending on how much heat you want)', '2 pounds boneless skinless chicken thighs (do not remove excess fat)', '6 ounces (3/4 cup) pineapple juice', '2 tablespoons tomato paste', 'Corn tortillas', 'Finely shredded cabbage', 'Thinly sliced radishes', 'Chopped avocado', 'Cilantro', 'Lime wedges']","['chili','cumin','salt','oregano','onion','garlic','cinnamon','ice','cayenne','chicken','apple','tomato','corn','cabbage','radishes','avocado','cilantro','lime']"
Chorizo and Egg Breakfast Tacos,"['12 ounces Mexican-style chorizo sausage, removed from casing if necessary', '12 large eggs', '1/2 teaspoon salt', '1/4 teaspoon pepper', '6 tablespoons milk, whole or whatever you have on hand', '12 5-inch tortillas, preferably corn and flour blend', '1 cup chopped tomatoes (about 2 medium tomatoes)', '1 avocado, chopped', '3 to 4 tablespoons Cotija cheese', '1 /4 cup chopped cilantro leaves (optional)', 'Salt and pepper to taste', 'Hot sauce (optional)', 'Lime wedges (optional)']","['chorizo','egg','tea','tea','milk','flour','tomato','avocado','cheese','cilantro','salt','hot sauce','lime']"
Bang Bang Shrimp Tacos,"['1 cup mayonnaise', '1/4 cup chili garlic sauce', '1 teaspoon Sriracha sauce, optional', '1 1/2 pounds extra-large (26-30 count) shrimp, peeled and deveined', '1 cup buttermilk', '1 1/2 cups all-purpose flour', '1/2 cup cornstarch', '1 teaspoon kosher salt', '1/4 teaspoon black pepper', '6 cups vegetable oil for frying', '10 taco-sized flour tortillas, warmed (or Bibb lettuce leaves)', '8 ounces shredded cabbage, about 3 cups', 'Thinly sliced radishes', 'Thinly sliced jalapeño peppers', 'Sliced green onions', 'Chopped cilantro']","['mayonnaise','garlic','sriracha','shrimp','butter','flour','corn','salt','tea','oil','flour','cabbage','radishes','pepper','onion','cilantro']"
Sous Vide Fish Tacos with Fall Apple Slaw,"['1 pound halibut', 'Pinch of salt', 'Pinch of black pepper', 'Pinch of ground cumin', '1 red apple, such as Fuji or Gala, peeled and diced', '4 to 5 radishes, diced', '1/4 cup diced red onion', 'Juice from 1/2 lime (about 1 tablespoon)', 'Pinch of salt', '1 cup sour cream', '2 tablespoons minced cilantro', 'Juice from 1/2 lime (about 1 tablespoon)', 'Pinch of salt', 'Taco-sized flour or corn tortillas', '1/2 red cabbage, sliced thin', '2 ripe avocados, sliced thin', 'Joule immersion circulator']","['halibut','salt','pepper','cumin','apple','radishes','onion','lime','salt','cream','cilantro','lime','salt','flour','cabbage','avocado','joule immersion circulator']"
Slow Cooker Mexican Pulled Pork Tacos,"['4 tablespoons chili powder', '1 tablespoon kosher salt (if using regular table salt, only use 2 teaspoons)', '1 tablespoon brown sugar', '2 teaspoons ground cumin', '1 teaspoon cayenne', '1 teaspoon ground oregano', '1 teaspoon onion powder', '1 teaspoon garlic powder', '1/4 teaspoon cinnamon', 'Scant pinch of ground cloves', '3 1/2 pound boneless pork shoulder roast', '2 tablespoons extra virgin olive oil', 'Sliced avocado', 'Sliced radishes', 'Thinly sliced cabbage', 'Warm tortillas, corn or flour', 'Fresh squeezed lime juice', 'Salsa', '6-quart slow cooker, or Instant Pot on the slow cook setting']","['chili','salt','sugar','cumin','cayenne','oregano','onion','garlic','cinnamon','clove','pork','gin','avocado','radishes','cabbage','flour','lime','salsa','slow cooker']"
